ID;TITLE;SENTIMENT;CATEGORY_DATA;len;CATEGORY_DATA_filtred
44506;Ethereum (ETH), Terra (LUNA) Operations on Binance (BNB) Affected by Congestion: CZ;NEGATIVE;['ETH', 'EXCHANGE', 'LUNA'];3;EXCHANGE:ETH
13494263;Hidden Gem;POSITIVE;['ETH', 'EXCHANGE', 'ICO', 'UNI'];4;EXCHANGE:ICO:ETH
12744887;Binance Australia Banned By Big Four Bank Westpac: Report;NEGATIVE;['EXCHANGE', 'FIAT'];2;EXCHANGE:FIAT
11440078;Tokenized gold tops $1 billion market cap amid banking crisis concerns;POSITIVE;['FIAT', 'MARKET', 'BUSINESS', 'USDT'];4;MARKET:BUSINESS:FIAT
47397;Will Solana [SOL] be able to repair investors’ confidence in May;NEGATIVE;['SOL', 'MARKET', 'ALTCOIN', 'BUSINESS', 'MINING'];5;MARKET:BUSINESS:ALTCOIN
13139615;Shiba Inu: Traders bet against price rise;NEGATIVE;['SHIB', 'TRADING', 'ALTCOIN'];3;TRADING:ALTCOIN:SHIB
13869893;Millions of SHIB Burned As Shiba Inu Price Drops 16% Weekly;NEUTRAL;['SHIB', 'TRADING'];2;TRADING:SHIB
11680269;ETH price below $1,900 as data points to $300M sell-off after Shanghai;NEGATIVE;['ETH', 'TRADING', 'ALTCOIN', 'BLOCKCHAIN', 'MARKET'];5;TRADING:MARKET:BLOCKCHAIN
3857200;Best Twitter threads of the day – October 4th;NEUTRAL;['BLOCKCHAIN', 'FIAT'];2;BLOCKCHAIN:FIAT
3854025;Dominica Selects TRON as its National Blockchain to Issue the Country’s Official Coin;POSITIVE;['BLOCKCHAIN', 'BUSINESS', 'SPONSORED'];3;BUSINESS:BLOCKCHAIN:SPONSORED
13493727;Lawsuit challenges PoolTogether model and DeFi's premise on control - WSJ;NEGATIVE;['BLOCKCHAIN', 'MARKET', 'TECHNOLOGY'];3;MARKET:BLOCKCHAIN:TECHNOLOGY
12944541;Brazil Sees BRICS Bank as Alternative Financial Institution, President Lula Says;POSITIVE;['FIAT', 'REGULATION'];2;REGULATION:FIAT
11451856;Marathon Digital Mined a Staggering 2,195 Bitcoin (BTC) in Q1 2023;POSITIVE;['BTC', 'MINING'];2;BTC:MINING
14536147;Shiba Inu (SHIB) Users Soar: Binance and Alternative Airlines Unveil Discount Deal;POSITIVE;['SHIB', 'EXCHANGE', 'BLOCKCHAIN', 'DOGE', 'ETH'];5;EXCHANGE:BLOCKCHAIN:ETH
13940958;Where is the crypto market bottom? Avorak suggests August;NEUTRAL;['MARKET', 'TRADING', 'SPONSORED'];3;TRADING:MARKET:SPONSORED
3856236;Chainlink Could Be A Great Investment in Q4- These Are The Targets!;POSITIVE;['LINK', 'ALTCOIN', 'MARKET'];3;MARKET:ALTCOIN
56125;US Inflation Hits 8.5%, Slightly Higher Than Expected;NEGATIVE;['MARKET', 'BTC'];2;MARKET:BTC
2428;Crypto Firm Uprise Loses $23 Million In The LUNA Trading;NEGATIVE;['LUNA', 'TRADING', 'BUSINESS'];3;TRADING:BUSINESS
10324230;7 DeFi protocol hacks in Feb see $21 million in funds stolen: DefiLlama;NEGATIVE;['BLOCKCHAIN'];1;BLOCKCHAIN
15494873;Indian Government Certifies on Polygon Network, Creating More Real-World Use Cases;POSITIVE;['MATIC', 'BLOCKCHAIN', 'ICO', 'TECHNOLOGY'];4;BLOCKCHAIN:ICO:TECHNOLOGY
8325960;Polygon Beats Ethereum on Daily Active Users;NEUTRAL;['MATIC', 'ETH', 'ALTCOIN', 'MARKET'];4;MARKET:ETH:ALTCOIN
13497703;Aladdin Exchange Launched Very First Inheritance Feature in The Crypto Industry;POSITIVE;['EXCHANGE', 'SPONSORED', 'TRADING'];3;TRADING:EXCHANGE:SPONSORED
14931460;Bitcoin Miners Face 'Stress Test' in Next Halving: JP Morgan;NEUTRAL;['BTC', 'MINING', 'TRADING'];3;TRADING:BTC:MINING
13102173;ADA Continues to Grow, While ETH Remains Somewhat Stagnant;POSITIVE;['ADA', 'ETH', 'MARKET', 'ALTCOIN'];4;MARKET:ETH:ALTCOIN
15036714;US lawmaker calls on SEC chair to reassess stance on crypto following Ripple ruling;NEUTRAL;['REGULATION', 'XRP'];2;REGULATION:XRP
12532867;Best Ethereum Casino Sites 2023;POSITIVE;['ETH', 'TECHNOLOGY', 'BLOCKCHAIN', 'BTC', 'FIAT'];5;BTC:BLOCKCHAIN:ETH
13971421;SUI Bears Retreat as Bulls Eye Breakout: Positive Momentum Builds;POSITIVE;['MARKET'];1;MARKET
11210912;Vanguard Review: A Comprehensive Analysis and its Competitors;NEUTRAL;['MARKET', 'BLOCKCHAIN'];2;MARKET:BLOCKCHAIN
10470060;CoinFlex Rebrands to OPNX After Tapping Court’s Approval;NEUTRAL;['EXCHANGE', 'BLOCKCHAIN', 'BUSINESS'];3;BUSINESS:EXCHANGE:BLOCKCHAIN
12664179;Billionaire investor says the Fed is done raising rates, risk assets may benefit;POSITIVE;['BUSINESS', 'BTC', 'FIAT'];3;BTC:BUSINESS:FIAT
5960;Bitcoin mining stock report: Tuesday, June 28;NEUTRAL;['MINING', 'BTC', 'BUSINESS'];3;BTC:BUSINESS:MINING
5531821;Bitcoin mining report: Argo Blockchain tumbles 38% after bankruptcy gaffe;NEGATIVE;['BLOCKCHAIN', 'BTC', 'MINING', 'MARKET', 'TECHNOLOGY'];5;MARKET:BTC:BLOCKCHAIN
12424328;Trillions of Shiba Inu Purchased Can’t Stop SHIB Price Crash;NEGATIVE;['SHIB', 'TRADING', 'ICO'];3;TRADING:ICO:SHIB
54997;Impervious Closes Seed Round, Eyes Peer-to-Peer Internet;POSITIVE;['BTC', 'BUSINESS', 'ICO'];3;BTC:BUSINESS:ICO
10056838;TrueUSD Becomes 5th-Largest Stablecoin as Binance Mints $130M TUSD in a Week;NEUTRAL;['EXCHANGE', 'BLOCKCHAIN'];2;EXCHANGE:BLOCKCHAIN
40929;New tech streamlines investigations into illicit crypto use;NEUTRAL;['TECHNOLOGY'];1;TECHNOLOGY
12164742;Shiba Inu: ChangeNow Plans to Support Shibarium;POSITIVE;['SHIB', 'EXCHANGE', 'BLOCKCHAIN', 'ETH', 'MARKET'];5;MARKET:EXCHANGE:BLOCKCHAIN
12477613;Cardano dominates transaction volume as BTC, ETH network fees skyrocket;NEUTRAL;['ADA', 'BTC', 'ETH'];3;BTC:ETH:ADA
14998618;Amidst Dogecoin and Floki’s Price Volatility, DigiToads Emerges as the Preferred Meme Coin;NEGATIVE;['DOGE', 'ICO', 'SPONSORED', 'TRADING'];4;TRADING:ICO:SPONSORED
13156098;Community Burns Over 4 Billion Shiba Inu in Past Week;NEGATIVE;['SHIB', 'MARKET'];2;MARKET:SHIB
12479562;Celsius Network in acquisition talks with private-equity giant Apollo Global Investments;NEUTRAL;['BTC', 'BUSINESS', 'ETH', 'MINING'];4;BTC:BUSINESS:ETH
14799033;Argo Blockchain daily bitcoin production down by 17% M/M in June;NEUTRAL;['BTC', 'MINING', 'BLOCKCHAIN', 'BUSINESS'];4;BTC:BUSINESS:BLOCKCHAIN
12720746;Here’s Why Ledger’s New Recovery Service Raised Alarms;NEGATIVE;['WALLET', 'ICO', 'TECHNOLOGY'];3;ICO:TECHNOLOGY
12118777;Franklin Templeton expands its OnChain US Government Money Fund to Polygon;NEUTRAL;['MATIC', 'BLOCKCHAIN', 'MARKET', 'TECHNOLOGY'];4;MARKET:BLOCKCHAIN:TECHNOLOGY
12354644;Coinbase Reports Increased Earnings in First Quarter, While Making the Call for “Crypto Specific Rules”;POSITIVE;['BUSINESS', 'EXCHANGE', 'REGULATION'];3;BUSINESS:EXCHANGE:REGULATION
12165984;FTX Boss Ryan Salame’s Maryland Home Searched by FBI in Unexplained Raid;NEGATIVE;['MARKET', 'REGULATION'];2;MARKET:REGULATION
14610877;Twitter Accounts of Aptos Network Hacked To Promote Fake Airdrop;NEGATIVE;['BLOCKCHAIN', 'ETH'];2;BLOCKCHAIN:ETH
40529;Crypto Bleed Won’t Ruin U.S. Economy: Goldman Sachs;NEUTRAL;['MARKET'];1;MARKET
13156959;"Latam Insights —Tether to Start Bitcoin Mining Operations in Uruguay; Lula Proposes Abandoning US Dollar";NEUTRAL;['BTC', 'MINING', 'USDT', 'FIAT', 'REGULATION'];5;BTC:REGULATION:FIAT
11099563;Stacks’ TVL story is way too interesting for STX holders, know why;NEUTRAL;['ALTCOIN', 'BTC', 'MARKET'];3;MARKET:BTC:ALTCOIN
9926626;ETH Whales Accumulate Polygon (MATIC) Ahead of zkEVM Launch;NEUTRAL;['MATIC', 'ETH', 'ALTCOIN'];3;ETH:ALTCOIN
15122127;Crypto Bear Reveals Biggest Altcoin Short Position As the Markets Take a Breather;NEGATIVE;['TRADING', 'ALTCOIN', 'MARKET', 'BTC', 'ETH'];5;TRADING:MARKET:BTC
11214265;Cardano founder lists 5 pillars of humanity in the 21st century;NEUTRAL;['ADA', 'BLOCKCHAIN'];2;BLOCKCHAIN:ADA
15011583;Elon Musk Aims For Unbiased AI With New xAI Venture;POSITIVE;['REGULATION', 'TECHNOLOGY'];2;REGULATION:TECHNOLOGY
10416126;Expert Outlines Reasons Why He Thinks SEC Gary Gensler’s Facing Massive Losses Soon;NEUTRAL;['BTC', 'REGULATION'];2;BTC:REGULATION
1047928;Nigeria becomes the most crypto-obsessed nation after April crash: Report;NEUTRAL;['ASIA', 'BTC'];2;BTC:ASIA
14617343;Shibarium could go live in August — Developer;POSITIVE;['SHIB', 'ICO'];2;ICO:SHIB
11507990;Eigenlayer, A Ethereum Restaking Protocol, Is Now Live On Testnet;POSITIVE;['BLOCKCHAIN', 'ETH', 'BUSINESS'];3;BUSINESS:BLOCKCHAIN:ETH
3856836;Solana’s (SOL) DeFi Protocols Raise $40 Million In Q3;POSITIVE;['SOL', 'ICO', 'BUSINESS'];3;BUSINESS:ICO
11621039;Solana (SOL) On-Chain Staking Now Supported on This Major Exchange: Details;NEUTRAL;['SOL', 'ETH', 'EXCHANGE'];3;EXCHANGE:ETH
12801181;PEPE losing investors after NFT scam while capital and interest flow to DigiToads;NEGATIVE;['SPONSORED', 'BLOCKCHAIN', 'BUSINESS'];3;BUSINESS:BLOCKCHAIN:SPONSORED
14277222;Interview: DeFi & staking – Spool DAO;NEGATIVE;['ALTCOIN', 'ETH', 'ICO', 'TRADING'];4;TRADING:ICO:ETH
9786120;Hong Kong’s Crypto Hub Aspirations Get Beijing’s Seal Of Approval;NEUTRAL;['ASIA', 'BUSINESS', 'SPONSORED', 'TRADING'];4;TRADING:BUSINESS:SPONSORED
52521;Binance.US leaves Blockchain Association to form own DC government affairs team;NEUTRAL;['BLOCKCHAIN', 'EXCHANGE', 'REGULATION'];3;EXCHANGE:BLOCKCHAIN:REGULATION
11755479;Uniswap V3 Deployment on Polygon zkEVM Proposal Approved;POSITIVE;['UNI', 'MATIC', 'TECHNOLOGY'];3;TECHNOLOGY
12462692;Breaking News: Bittrex Exchanges Files for Bankruptcy After Regulatory Setback;NEGATIVE;['EXCHANGE', 'REGULATION'];2;EXCHANGE:REGULATION
1600229;Evita Launches Learn2earn Courses to Bring Thousands of Talents to Web3;POSITIVE;['SPONSORED', 'TECHNOLOGY'];2;SPONSORED:TECHNOLOGY
40039;Terraform Labs Has Paid in Full its Taxes in South Korea, Says Do Kwon;NEUTRAL;['REGULATION', 'ASIA'];2;REGULATION:ASIA
11377767;With RGB, The Bitcoin Lightning Network Can Now Transfer Altcoin Assets;POSITIVE;['ALTCOIN', 'BTC', 'BLOCKCHAIN', 'TRADING'];4;TRADING:BTC:BLOCKCHAIN
15525332;DOGE Cofounder Comments on FTX Plans to Reboot Outside USA;NEGATIVE;['DOGE'];1;DOGE
30291;If Bitcoin Breaks This Level, Expect Massive Sell-Off: Arthur Hayes;NEGATIVE;['BTC', 'ETH'];2;BTC:ETH
3399523;Crypto Trader Says One Altcoin That’s Exploded 120% This Month Is About To Nuke – Here’s His Target;NEGATIVE;['ALTCOIN', 'LUNC', 'ICO', 'TRADING'];4;TRADING:ICO:ALTCOIN
47320;Binance Scores First European Regulatory Approval in France;POSITIVE;['EXCHANGE', 'TRADING'];2;TRADING:EXCHANGE
11428391;Get Your Game On: Unbeatable Welcome Offer for New Players on BitSpinCasino;POSITIVE;['BTC', 'ATOM', 'ICO'];3;BTC:ICO
8564446;Judge Clarifies That Security Injunction in LBRY v. SEC Case Was Only for Direct Sale;POSITIVE;['REGULATION', 'ICO', 'MARKET', 'XRP'];4;MARKET:REGULATION:ICO
4586635;Billionaire investor Bill Ackman now thinks 'crypto is here to stay,' likes Helium;NEUTRAL;['ICO', 'BUSINESS', 'BLOCKCHAIN', 'ETH', 'EXCHANGE'];5;BUSINESS:EXCHANGE:BLOCKCHAIN
12638714;As Uniswap’s exchange flow turns positive, is a UNI dump in sight?;NEGATIVE;['UNI', 'ALTCOIN', 'EXCHANGE'];3;EXCHANGE:ALTCOIN
15876325;Fireblocks Uncovers 'BitForge' Vulnerabilities Posing Threat to Major MPC Wallets;NEGATIVE;['EXCHANGE', 'TECHNOLOGY'];2;EXCHANGE:TECHNOLOGY
13493455;Are stablecoins stable? U.S. Treasury's Liang says not true, points to 'run risk';NEUTRAL;['FIAT', 'REGULATION', 'MARKET'];3;MARKET:REGULATION:FIAT
11907698;BRICS De-Dollarization Push, China, and Crypto Threaten US Dollar’s Dominance: Analyst;NEGATIVE;['ASIA', 'FIAT'];2;FIAT:ASIA
13557003;Swiss Privacy Startup Nym Technologies Unveils Public Launch Of Its NYM Token;POSITIVE;['ICO', 'SPONSORED'];2;ICO:SPONSORED
15811268;Indian Authorities Arrest Two in $120 Million Cryptocurrency Ponzi Scheme!;NEGATIVE;['BUSINESS', 'ICO', 'SPONSORED'];3;BUSINESS:ICO:SPONSORED
14085339;Arbitrum’s layer 3 advancements outshine competitors in the blockchain scalability race;POSITIVE;['BLOCKCHAIN', 'ETH', 'MARKET', 'MATIC'];4;MARKET:BLOCKCHAIN:ETH
31283;Ethereum co-founder questions Bitcoin’s real energy consumption;NEGATIVE;['ETH', 'BTC', 'BLOCKCHAIN', 'BUSINESS'];4;BTC:BUSINESS:BLOCKCHAIN
10979298;Arbitrum airdrop token claim goes live;NEUTRAL;['ICO', 'ETH'];2;ICO:ETH
7297194;XRP Price in Green as Ripple Helps Transfer Close to 500 Million XRP;POSITIVE;['XRP', 'TRADING'];2;TRADING:XRP
9840441;Huma Finance raises $8.3 million to enable DeFi borrowing against future income;POSITIVE;['ICO', 'TECHNOLOGY'];2;ICO:TECHNOLOGY
15094710;Shake-Up at Sequoia Capital: Departures of Key Partners Mark Transformation;NEGATIVE;['BUSINESS', 'MARKET'];2;MARKET:BUSINESS
44299;Dogecoin drops to $0.07: Expect another drop soon;NEGATIVE;['DOGE', 'TRADING', 'MARKET', 'ALTCOIN', 'BLOCKCHAIN'];5;TRADING:MARKET:BLOCKCHAIN
43907;The Metaverse in South Korea: TopGoal Brings Football to Klaytn Blockchain;POSITIVE;['BLOCKCHAIN', 'ASIA', 'BUSINESS', 'EXCHANGE', 'TECHNOLOGY'];5;BUSINESS:EXCHANGE:BLOCKCHAIN
6591549;Onchain Sleuths Discover Funds Linked to Alameda Swapped for ETH, USDT, BTC by a Mysterious Entity;NEGATIVE;['BTC', 'ETH', 'ICO', 'USDT'];4;BTC:ICO:ETH
13843951;Billionaire Mark Cuban Defends Crypto, Calls Out Banks;POSITIVE;['REGULATION', 'TECHNOLOGY'];2;REGULATION:TECHNOLOGY
38237;Avalanche Looks to Onboard ApeCoin and Proposes “Otherside” Launch on Its Subnet;POSITIVE;['AVAX', 'BLOCKCHAIN', 'LINK', 'MARKET'];4;MARKET:BLOCKCHAIN
12934220;Circle Integrates EUROC on Avalanche Blockchain;NEUTRAL;['AVAX', 'BLOCKCHAIN', 'FIAT'];3;BLOCKCHAIN:FIAT
12135675;Mythical Games to deliver Mythos ecosystem on Polkadot;POSITIVE;['DOT', 'BLOCKCHAIN', 'ETH'];3;BLOCKCHAIN:ETH
8561105;Greenidge Generation restructures $11M of debt owed to B. Riley;NEUTRAL;['MINING', 'ICO', 'BTC', 'BUSINESS', 'FIAT'];5;BTC:BUSINESS:ICO
13797667;P2P.org’s Ethereum Staking Application Is Now Available on Popular Wallet Provider Safe;POSITIVE;['ETH', 'TECHNOLOGY'];2;ETH:TECHNOLOGY
10590402;What Is Ethereum? Blockchain’s Future of Finance Explained;NEUTRAL;['ETH', 'BLOCKCHAIN'];2;BLOCKCHAIN:ETH
12005708;DPR’s Bullish Momentum Falters Amidst Trend Reversal Fears;NEUTRAL;['TRADING', 'MARKET'];2;TRADING:MARKET
3599590;Open Metaverse Alliance Says It Won’t Let Meta Define the Future of the Internet;NEUTRAL;['ETH', 'SAND', 'TECHNOLOGY'];3;ETH:TECHNOLOGY
15150675;Algeria officially asks to be a part of the BRICS;POSITIVE;['REGULATION', 'ASIA', 'COMMODITY'];3;REGULATION:ASIA
14347880;Slovakia Votes to Lower Crypto Taxes;POSITIVE;['REGULATION', 'ASIA', 'FIAT', 'MARKET'];4;MARKET:REGULATION:FIAT
56837;Luna Foundation Purchases 4,130 Bitcoin Bringing its Total to 39,897 BTC;POSITIVE;['BTC', 'ETH', 'LUNA', 'TRADING'];4;TRADING:BTC:ETH
10250919;Crypto lender Celsius converts almost 23,000 WBTC into bitcoin;NEUTRAL;['BTC', 'MARKET'];2;MARKET:BTC
14873850;BREAKING: Ripple Win Triggers Altcoin Explosion, Bears Suffer $273M Blow;POSITIVE;['ALTCOIN', 'REGULATION', 'TRADING', 'XRP', 'MARKET'];5;TRADING:MARKET:REGULATION
9772738;Firm Behind Binance's BUSD Stablecoin in Talks with the SEC – Here's the Latest;NEUTRAL;['EXCHANGE', 'REGULATION', 'BLOCKCHAIN'];3;EXCHANGE:BLOCKCHAIN:REGULATION
14181257;Ripple CTO Ends Speculation on 10 Billion XRP Buyback;NEUTRAL;['XRP'];1;XRP
2074967;LevelField Raises $50M as it Makes New Acquisition;POSITIVE;['BLOCKCHAIN', 'BUSINESS', 'ICO', 'REGULATION', 'TRADING'];5;TRADING:BUSINESS:BLOCKCHAIN
3855184;Critics Slam Kusama Over Shiba Eternity, Ask Him To Step Down;NEGATIVE;['SHIB', 'ALTCOIN', 'MARKET'];3;MARKET:ALTCOIN:SHIB
43528;ADA, SHIB Bulls Return With A Bang But Is This Recoil Sustainable?;NEUTRAL;['ADA', 'SHIB', 'TRADING', 'ALTCOIN'];4;TRADING:ALTCOIN:SHIB
31286;Huge Crypto Crash On Horizon! MarketCap Can Drop Below $1 Trillion Soon;NEGATIVE;['ALTCOIN', 'TRADING'];2;TRADING:ALTCOIN
12885454;Chinese firms selling synthetic opioid chemicals accept payments in Bitcoin & Tether;NEGATIVE;['BTC', 'USDT', 'ALTCOIN', 'BLOCKCHAIN', 'BUSINESS'];5;BTC:BUSINESS:BLOCKCHAIN
394404;ERC-20 Token Swaps Made Gasless: Interview With 0GAS Exchange Founder;POSITIVE;['EXCHANGE', 'ICO'];2;EXCHANGE:ICO
2953828;Vitalik Buterin, Ethereum’s Co-founder Shares What Layer 3 Would Look Like;NEUTRAL;['ETH', 'BLOCKCHAIN'];2;BLOCKCHAIN:ETH
11980354;Ripple CTO Reacts to XRP's 10% Dip with Market Insight;NEUTRAL;['XRP', 'MARKET'];2;MARKET:XRP
3685349;NEOKOREA Announces NKC Token Listing on a Global Crypto Exchange, LBank;NEUTRAL;['EXCHANGE', 'ICO', 'TRADING'];3;TRADING:EXCHANGE:ICO
11904080;A Hacker Has Stolen $10 Million in Ethereum and No One Knows How;NEGATIVE;['ETH', 'TECHNOLOGY'];2;ETH:TECHNOLOGY
7501;ETH, ADA, XRP On Verge Of Breakout After Reaching Essential Resistance Level: Crypto Market Review, July 15;NEUTRAL;['ETH', 'ADA', 'ALTCOIN', 'MARKET', 'XRP'];5;MARKET:ETH:ALTCOIN
13495971;Bitcoin ETF filing by New York Digital Group (NYDIG);POSITIVE;['BTC', 'EXCHANGE', 'TRADING'];3;TRADING:BTC:EXCHANGE
13702838;Cardano (ADA/USD) Price Analysis for 11 June 2023: Moving Averages Give ‘Strong Sell’ Signal;NEGATIVE;['ADA', 'TRADING', 'MARKET', 'EXCHANGE'];4;TRADING:MARKET:EXCHANGE
5672781;Amber Group acquires cryptocurrency platform Sparrow exchange: Report;NEGATIVE;['EXCHANGE', 'TECHNOLOGY'];2;EXCHANGE:TECHNOLOGY
14119677;Survival of Bitcoin Miners Hinges on Low Power Costs and Sustainable Energy Sources, JPMorgan Warns;NEUTRAL;['BTC', 'MINING', 'RESEARCH'];3;BTC:MINING
10356326;Billionaire Mark Mobius Says He Can’t Get His Money Out of HSBC China – ‘They’re Putting All Kinds of Barriers’;NEGATIVE;['ASIA', 'SPONSORED'];2;SPONSORED:ASIA
38756;Attorney Jeremy Hogan Says Ripple Lawsuit Reaching ‘Endgame’ – Here’s Why;POSITIVE;['XRP', 'REGULATION', 'EXCHANGE'];3;EXCHANGE:REGULATION:XRP
4580055;LuLuFin And SpendTheBits Win Huge Ripple Recognitions;POSITIVE;['XRP', 'ALTCOIN', 'BLOCKCHAIN', 'MARKET'];4;MARKET:BLOCKCHAIN:ALTCOIN
3852788;Dogecoin (DOGE) Price Soars up Following Google Supports;POSITIVE;['DOGE', 'TRADING'];2;TRADING:DOGE
10902685;Top Ethereum Rival Could Be Gearing Up for Glorious Move, Says Investor Who Called 2022 Crypto Bottom;POSITIVE;['SOL', 'ETH', 'BUSINESS', 'TRADING', 'ALTCOIN'];5;TRADING:BUSINESS:ETH
13586161;Confidential UN Report Says North Korean Crypto Hackers Funding Nuclear Programmes;NEGATIVE;['ASIA', 'BTC'];2;BTC:ASIA
38318;Ethereum Beacon Chain Suffers Longest Blockchain 'Reorg' in Years;NEGATIVE;['ETH', 'BLOCKCHAIN'];2;BLOCKCHAIN:ETH
3426157;There’s Still Time to Sign Up for Crypto’s First Fantasy NFT Flipping League;NEUTRAL;['TRADING', 'BUSINESS'];2;TRADING:BUSINESS
13066227;Jimbos Protocol to Work With U.S. Homeland Security to Help Recover $7.5M From Flash Loan Exploit;NEUTRAL;['BLOCKCHAIN', 'ICO', 'TECHNOLOGY'];3;BLOCKCHAIN:ICO:TECHNOLOGY
8331201;Shiba Inu Holders Can Now Move SHIB Anonymously;NEUTRAL;['SHIB', 'ALTCOIN', 'MARKET'];3;MARKET:ALTCOIN:SHIB
14693150;Marathon Digital Claims it Mined 21% Less BTC in June Due to Weather;NEGATIVE;['BTC', 'BLOCKCHAIN'];2;BTC:BLOCKCHAIN
12507753;Internet Computer (ICP) and Collateral Network (COLT) Are Outperforming The  Market;POSITIVE;['MARKET', 'ICO', 'SPONSORED'];3;MARKET:ICO:SPONSORED
